Since 2002,Years in NFL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,
,# Top 10 RB finishes,19,30,35,29,25,28,15,8,8,4,1,0,0,0,0,0,,,,,,
,# Top 20 RB finishes,43,58,62,53,54,52,30,20,19,10,3,3,1,0,0,0,,,,,,
,# of RBs,429,416,364,297,242,199,138,99,79,56,24,13,9,5,3,1,,,,,,
,Percent Top 10,4.43%,7.21%,9.62%,9.76%,10.33%,14.07%,10.87%,8.08%,10.13%,7.14%,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
,Percent Top 20,10.02%,13.94%,17.03%,17.85%,22.31%,26.13%,21.74%,20.20%,24.05%,17.86%,12.50%,23.08%,11.11%,0.00%,0.00%,0.00%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Since 2012,Years in NFL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,
,# Top 10 RB finishes,14,16,15,17,12,13,7,3,4,1,0,0,0,0,0,0,,,,,,
,# Top 20 RB finishes,28,31,28,30,29,26,13,8,8,2,2,2,1,0,0,0,,,,,,
,# of RBs,259,239,220,182,146,120,71,52,43,25,9,5,3,2,2,1,,,,,,
,Percent Top 10,5.41%,6.69%,6.82%,9.34%,8.22%,10.83%,9.86%,5.77%,9.30%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
,Percent Top 20,10.81%,12.97%,12.73%,16.48%,19.86%,21.67%,18.31%,15.38%,18.60%,8.00%,22.22%,40.00%,33.33%,0.00%,0.00%,0.00%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Since 2002,Round Selected in Draft,1,2,3,4,5,6,7,,,,,,,,,,,,,,,
,# Top 10 RB finishes,54,42,31,7,7,1,3,,,,,,,,,,,,,,,
,# Top 20 RB finishes,102,71,57,20,15,6,9,,,,,,,,,,,,,,,
,# of RBs,240,218,206,223,143,134,82,,,,,,,,,,,,,,,
,Percent Top 10,22.50%,19.27%,15.05%,3.14%,4.90%,0.75%,3.66%,,,,,,,,,,,,,,,
,Percent Top 20,42.50%,32.57%,27.67%,8.97%,10.49%,4.48%,10.98%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Since 2012,Round Selected in Draft,1,2,3,4,5,6,7,,,,,,,,,,,,,,,
,# Top 10 RB finishes,36,26,22,6,4,1,2,,,,,,,,,,,,,,,
,# Top 20 RB finishes,61,49,41,15,12,4,6,,,,,,,,,,,,,,,
,# of RBs,148,153,166,178,122,111,58,,,,,,,,,,,,,,,
,Percent Top 10,24.32%,16.99%,13.25%,3.37%,3.28%,0.90%,3.45%,,,,,,,,,,,,,,,
,Percent Top 20,41.22%,32.03%,24.70%,8.43%,9.84%,3.60%,10.34%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Since 2002,Draft # Overall Range,1-16,17-32,33-48,49-64,65-80,81-96,97-112,113-128,129-144,145-160,,,,,,,,,,,,
,# Top 10 RB finishes,35,19,21,21,17,12,6,1,2,5,,,,,,,,,,,,
,# Top 20 RB finishes,62,40,34,38,39,14,14,4,5,10,,,,,,,,,,,,
,# of RBs,131,109,80,143,114,76,76,97,83,77,,,,,,,,,,,,
,Percent Top 10,26.72%,17.43%,26.25%,14.69%,14.91%,15.79%,7.89%,1.03%,2.41%,6.49%,,,,,,,,,,,,
,Percent Top 20,47.33%,36.70%,42.50%,26.57%,34.21%,18.42%,18.42%,4.12%,6.02%,12.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Since 2012,Draft # Overall Range,1-16,17-32,33-48,49-64,65-80,81-96,97-112,113-128,129-144,145-160,,,,,,,,,,,,
,# Top 10 RB finishes,27,9,19,7,13,7,6,1,1,2,,,,,,,,,,,,
,# Top 20 RB finishes,44,17,30,19,30,8,10,4,4,7,,,,,,,,,,,,
,# of RBs,88,60,67,87,90,64,59,76,73,62,,,,,,,,,,,,
,Percent Top 10,30.68%,15.00%,28.36%,8.05%,14.44%,10.94%,10.17%,1.32%,1.37%,3.23%,,,,,,,,,,,,
,Percent Top 20,50.00%,28.33%,44.78%,21.84%,33.33%,12.50%,16.95%,5.26%,5.48%,11.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
